,id,Name,Sequence ID,Province name,Class_label,Start time,End time,Duration,Temporal context start,Temporal context end,Actual temporal context duration,Week6_Covid,Week5_Covid,Week4_Covid,Week3_Covid,Week2_Covid,Week1_Covid,Week6_Mobility,Week5_Mobility,Week4_Mobility,Week3_Mobility,Week2_Mobility,Week1_Mobility,Week5_Covid_encoded,Week3_Covid_encoded,Covid_trend,Days_passed
129,11_c2_1_03/05/2021..09/05/2021,,11,C diz,c2,3/5/2021,9/5/2021,7,22/03/2021,3/5/2021,42,c3,c3,c3,c3,c3,c3,m4,m3,m4,m4,m4,m4,3,3,S,441.0
130,11_c3_9_24/08/2020_25/10/2020,,11,C diz,c3,24/08/2020,25/10/2020,63,13/07/2020,24/08/2020,42,c1,c1,c1,c2,c2,c2,m4,m4,m4,m4,m4,m4,1,2,I,189.0
131,11_c3_6_23/11/2020_03/01/2021,,11,C diz,c3,23/11/2020,3/1/2021,42,12/10/2020,23/11/2020,42,c3,c3,c4,c4,c4,c4,m3,m3,m3,m3,m3,m3,3,4,I,280.0
132,11_c3_11_15/02/2021_02/05/2021,,11,C diz,c3,15/02/2021,2/5/2021,77,4/1/2021,15/02/2021,42,c4,c4,c4,c4,c4,c4,m2,m3,m2,m3,m3,m3,4,4,S,364.0
133,11_c4_4_26/10/2020_22/11/2020,,11,C diz,c4,26/10/2020,22/11/2020,28,14/09/2020,26/10/2020,42,c3,c3,c3,c3,c3,c3,m4,m4,m4,m4,m3,m3,3,3,S,252.0
134,11_c4_6_04/01/2021_14/02/2021,,11,C diz,c4,4/1/2021,14/02/2021,42,23/11/2020,4/1/2021,42,c3,c3,c3,c3,c3,c3,m3,m3,m3,m4,m3,m3,3,3,S,322.0
136,12_c1_13_20/04/2020_19/07/2020,,12,Castell /Castell n,c1,20/04/2020,19/07/2020,91,9/3/2020,20/04/2020,42,c2,c3,c3,c2,c2,c2,m4,m1,m1,m1,m1,m1,3,2,D,63.0
138,12_c2_3_30/03/2020_19/04/2020,,12,Castell /Castell n,c2,30/03/2020,19/04/2020,21,17/02/2020,30/03/2020,42,c1,c1,c1,c2,c3,c3,m4,m4,m4,m4,m1,m1,1,2,I,42.0
139,12_c2_4_20/07/2020_16/08/2020,,12,Castell /Castell n,c2,20/07/2020,16/08/2020,28,8/6/2020,20/07/2020,42,c1,c1,c1,c1,c1,c1,m3,m3,m3,m4,m4,m4,1,1,S,154.0
140,12_c2_11_22/02/2021_09/05/2021,,12,Castell /Castell n,c2,22/02/2021,9/5/2021,77,11/1/2021,22/02/2021,42,c4,c4,c4,c4,c3,c3,m3,m3,m3,m3,m3,m3,4,4,S,371.0
